,name,country,latitude,longitude,temperature,cloudiness,humidity,windspeed
405,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
406,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
407,mar del plata,AR,-38.0023,-57.5575,54.91,0.0,54.0,8.01
408,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
409,ancud,CL,-41.8697,-73.8203,46.22,100.0,90.0,2.77
410,hermanus,ZA,-34.4187,19.2345,53.91,56.0,68.0,9.08
411,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
412,avarua,CK,-21.2078,-159.775,76.62,22.0,82.0,14.9
413,avarua,CK,-21.2078,-159.775,76.62,22.0,82.0,14.9
414,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
415,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
416,puerto ayora,EC,-0.7393,-90.3518,73.54,24.0,81.0,7.0
417,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
418,hermanus,ZA,-34.4187,19.2345,53.91,56.0,68.0,9.08
